id;unique_message;email;sending_status
1;a792c25b-7cde-4025-9392-5e24fd380dd8;Vergie.Durgan15@gmail.com;ERROR
2;c4b19986-6aff-4e62-8991-5d639b849052;Alyson_Smith@hotmail.com;ERROR
3;d1d85f1a-1db6-438b-b286-bc6f3d682a5f;Jaida64@hotmail.com;ERROR
4;d5b988c2-5b1d-4418-91e5-085e584ae2b7;Bernhard93@gmail.com;ERROR
5;4099262b-c586-4d1a-babb-0049ba40f273;Demetris_Reichel@hotmail.com;DELIVERED
6;62f901e8-2c7a-41db-a73e-d3e5badc636a;Peyton51@yahoo.com;ERROR
7;801a6d10-04ef-4619-9ca5-75940b108358;Autumn.Sporer@yahoo.com;DELIVERED
8;dccaf3bd-d074-4892-b6c2-0d3cd49090fa;Kennith98@hotmail.com;DELIVERED
9;ec81d06f-d6ee-4a22-93a3-89a17a906a47;Rosalind.Krajcik95@yahoo.com;ERROR
10;3b534e4a-32e1-4b5b-964c-4911b31c2798;Hillary99@gmail.com;ERROR
