id;name;email;group_users
1;program web-enabled;Vergie.Durgan15@gmail.com;67263
2;infomediaries virtual;Alyson_Smith@hotmail.com;7874
3;niches transmitting Grocery;Jaida64@hotmail.com;55176
4;indexing;Bernhard93@gmail.com;50627
5;pixel;Demetris_Reichel@hotmail.com;87382
6;Steel;Peyton51@yahoo.com;53264
7;Web calculating;Autumn.Sporer@yahoo.com;35721
8;seize drive conglomeration;Kennith98@hotmail.com;50606
9;Product SDD Buckinghamshire;Rosalind.Krajcik95@yahoo.com;67797
10;Buckinghamshire PCI;Hillary99@gmail.com;44754
